Family,n_languages,n_exact_one,share_exact_one,mean_rate,median_n_total,mean_abs_latitude,database,share_of_all_boundary_languages
Wintuan,2,0,0.0,0.3062096361160731,283.0,39.7176,Lexibank,0.0
Worrorran,1,0,0.0,0.6196078431372549,255.0,16.4006,Lexibank,0.0
Yale,1,0,0.0,0.31958762886597936,97.0,3.79762,Lexibank,0.0
Yana,1,0,0.0,0.8448979591836735,245.0,39.2769,Lexibank,0.0
Yangmanic,1,0,0.0,0.4838709677419355,248.0,14.4964,Lexibank,0.0
Yawa-Saweru,1,0,0.0,0.5620437956204379,274.0,1.77196,Lexibank,0.0
Yele,1,0,0.0,0.9919354838709677,248.0,11.3796,Lexibank,0.0
Yeniseian,3,0,0.0,0.16230367607697718,902.0,63.838366666666666,Lexibank,0.0
Yetfa,1,0,0.0,0.4537037037037037,108.0,4.05884,Lexibank,0.0
Yokutsan,3,0,0.0,0.35964116910518645,215.0,36.06338066666667,Lexibank,0.0
Yuat,3,0,0.0,0.5346668775036897,112.0,4.5778566666666665,Lexibank,0.0
Yukaghir,3,0,0.0,0.6255074354400413,861.0,66.32266666666668,Lexibank,0.0
Yuki-Wappo,3,0,0.0,0.477265412368266,278.0,38.77963333333333,Lexibank,0.0
Yuracaré,1,0,0.0,0.9771689497716894,219.0,16.7479,Lexibank,0.0
Yámana,2,0,0.0,0.7739013638242183,479.0,55.2748,Lexibank,0.0
Zamucoan,4,0,0.0,0.7149047829417101,313.0,19.562527499999998,Lexibank,0.0
Zuni,4,0,0.0,0.9304438038145195,195.5,35.0056,Lexibank,0.0
